Consumo_kWh,CostoEnergia_USD,TempPromedio_C,HorasPico,PotenciaMax_kW,EmisionesCO2_tn,SectorIndustrial,MantenimientoPrev,EdadEquipo_anios,AhorroPotencial_USD
294.06,84.07,33.22,2.81,82.5,1.64,0,1,7.5,319.04
358.47,317.8,10.82,2.17,77.88,4.58,1,1,14.07,411.3
413.13,205.34,38.23,1.71,105.3,4.58,0,0,7.4,341.07
307.29,198.11,27.3,5.15,60.37,0.56,0,0,3.78,513.16
489.38,343.48,44.07,1.98,25.2,1.52,1,1,19.51,628.19
430.18,275.21,18.94,8.43,99.35,2.94,0,0,17.4,628.89
316.62,342.11,12.78,5.38,114.61,4.27,0,0,21.59,411.2
506.68,220.02,39.5,8.4,75.22,0.77,1,1,9.61,448.62
539.33,397.26,27.56,6.86,91.84,2.86,0,0,11.48,591.59
388.16,403.43,22.51,9.29,83.59,4.18,1,1,18.69,518.19
374.2,188.64,25.11,8.57,80.7,2.73,0,0,24.74,452.0
187.15,375.09,42.99,3.5,104.87,5.79,0,0,16.86,520.72
351.1,311.51,11.54,7.32,102.72,2.03,0,1,2.48,467.19
365.02,584.1,28.95,9.08,107.34,4.99,0,1,23.14,621.39
429.45,455.33,17.88,5.69,89.84,0.58,1,1,9.91,724.3
379.79,174.58,39.32,7.68,94.16,3.59,1,0,18.01,217.2
429.28,538.65,30.33,1.43,90.85,1.0,1,0,18.88,584.68
584.09,328.05,27.26,6.65,98.43,4.2,0,1,7.95,685.86
336.41,520.37,31.2,7.62,86.0,5.76,1,0,4.52,624.15
341.08,512.07,21.7,6.02,55.98,4.61,0,0,16.94,625.95
242.9,89.02,38.17,3.51,93.23,2.61,0,1,16.88,239.42
398.96,201.5,30.68,9.45,97.15,2.39,0,1,19.91,324.81
517.22,553.77,39.72,5.14,94.95,5.09,0,0,16.98,667.0
189.87,480.27,30.68,6.0,118.57,3.52,1,1,17.47,504.26
320.1,150.37,15.99,1.56,106.3,3.94,0,1,14.29,313.94
404.31,190.39,36.87,8.34,111.24,0.64,0,1,12.79,371.66
502.01,401.7,40.12,4.8,61.66,0.78,1,0,14.6,641.73
445.94,224.92,37.28,3.99,106.26,0.65,1,0,10.73,352.39
439.06,186.22,25.7,9.24,85.99,1.21,0,1,13.77,454.44
373.08,591.37,33.29,3.3,66.46,1.57,1,0,23.82,762.83
457.82,318.48,37.06,2.27,115.97,3.32,1,0,11.67,765.72
521.72,350.1,20.18,5.24,54.19,5.0,1,1,14.63,632.59
194.92,419.16,14.45,7.69,49.49,4.6,0,1,11.23,368.02
487.42,119.38,43.56,1.38,83.01,2.09,0,0,22.14,416.56
388.15,286.2,42.74,7.48,157.95,5.75,0,1,11.28,466.73
336.4,550.82,33.88,5.64,94.29,5.91,0,0,12.21,725.45
106.83,570.47,30.59,7.09,114.09,3.51,0,1,11.2,577.43
234.36,337.54,43.72,7.14,93.28,5.4,1,1,13.12,725.99
603.77,543.95,37.22,3.83,69.14,4.1,1,0,21.39,739.46
317.37,339.5,25.29,2.59,110.89,3.39,0,1,19.3,240.75
269.83,592.52,40.58,1.19,60.94,1.16,0,1,21.11,504.24
345.23,489.34,39.21,1.2,102.91,4.58,0,1,23.28,611.28
310.58,511.76,29.06,8.83,36.7,0.4,0,1,21.4,461.81
414.92,176.94,22.3,5.58,61.75,5.2,1,1,1.57,400.25
582.04,82.33,22.69,3.94,130.99,1.61,0,1,18.45,581.57
329.61,342.57,29.29,9.21,130.84,3.36,1,1,15.93,440.18
418.51,591.06,40.54,9.34,66.84,1.91,0,1,13.15,873.5
262.33,582.97,24.83,5.83,108.36,5.58,0,1,19.96,667.81
582.42,399.38,13.79,5.96,114.22,4.08,0,1,19.4,726.19
422.69,176.02,21.38,6.7,104.02,2.91,1,0,16.83,473.56
270.18,84.67,10.36,7.28,88.41,3.44,0,0,9.67,125.86
508.52,338.18,40.73,4.01,41.48,4.3,0,0,12.2,581.24
544.0,237.01,18.65,7.67,131.38,5.95,1,1,13.35,683.06
419.37,255.13,43.55,1.18,73.07,5.78,0,0,16.8,498.88
203.27,513.3,23.27,8.28,113.73,1.29,1,1,23.74,609.38
614.22,126.46,28.65,7.08,116.94,0.95,0,0,17.63,557.05
437.21,127.16,36.62,8.83,81.5,4.13,1,0,11.2,283.68
540.45,310.17,11.42,6.59,97.58,3.27,1,1,19.87,571.69
333.89,294.99,24.38,6.4,94.25,4.8,1,0,5.5,338.34
352.17,113.22,24.04,3.09,67.39,6.0,1,0,6.38,305.74
413.25,363.66,11.34,4.75,88.87,0.51,1,1,24.14,580.4
533.61,304.66,34.52,8.05,99.81,1.18,0,1,11.49,621.51
417.16,596.39,36.57,5.57,126.25,4.76,1,0,5.15,850.09
249.18,114.36,30.81,7.68,128.23,0.58,0,1,18.53,288.81
431.44,141.06,24.91,9.82,61.56,5.58,0,1,8.25,325.05
595.54,162.38,16.85,5.09,115.87,5.69,0,1,22.38,452.75
407.9,248.93,16.79,2.86,38.33,5.89,0,0,4.2,337.11
415.53,425.54,33.48,5.0,83.41,3.9,0,1,6.21,658.93
248.49,582.58,27.02,4.03,60.23,1.12,0,1,14.84,483.11
231.64,552.0,32.82,2.9,113.61,1.61,1,1,1.64,625.37
323.48,309.89,42.13,9.9,102.1,3.8,1,1,3.53,532.16
360.82,116.88,32.29,5.07,49.84,5.98,0,0,22.29,275.69
412.49,415.37,12.28,9.82,69.95,5.91,0,1,14.44,426.42
419.91,297.19,33.38,7.39,94.09,5.68,1,0,8.57,463.41
592.23,92.14,10.7,4.44,87.62,0.4,1,1,5.51,426.85
407.04,505.03,43.37,1.0,81.53,2.93,1,0,23.67,625.55
527.73,355.21,19.24,4.55,82.96,5.95,1,1,8.57,502.9
395.28,307.69,28.91,3.8,50.71,0.78,0,0,19.17,640.22
573.87,456.3,31.17,5.13,125.93,4.63,0,0,14.0,819.49
175.55,526.25,17.58,6.13,117.59,5.96,0,0,19.63,618.63
328.15,564.76,14.7,6.65,109.47,0.86,1,0,9.22,701.33
517.96,252.44,38.21,2.19,89.9,1.32,1,1,19.44,586.02
379.41,175.59,34.24,6.57,98.3,2.48,1,0,14.9,271.26
511.78,251.76,31.41,5.9,124.97,0.97,0,0,22.45,616.3
446.21,587.68,16.03,2.14,76.17,0.44,1,0,21.65,782.81
513.51,131.21,36.45,2.84,86.4,5.4,0,0,12.26,355.18
473.57,574.15,32.63,5.78,40.29,0.44,0,0,23.24,658.42
480.84,401.6,30.35,6.95,93.85,4.92,0,1,22.14,682.91
579.09,85.03,26.01,2.52,90.98,1.33,0,0,10.24,320.17
518.38,526.76,15.75,6.97,77.81,1.06,0,1,1.88,662.8
519.26,434.22,16.63,3.82,104.0,5.83,1,1,2.97,730.47
402.45,155.21,38.99,8.47,98.25,3.41,0,1,18.64,467.36
330.18,257.5,17.73,4.5,123.4,4.17,0,0,17.55,399.88
320.85,533.9,41.8,8.33,63.94,3.63,1,0,5.78,624.05
490.11,458.89,15.34,3.11,75.98,2.37,1,0,11.01,577.73
107.38,245.7,33.36,7.65,110.09,0.54,0,0,22.52,136.57
243.14,492.99,24.37,5.81,86.28,4.54,1,0,13.76,376.85
284.41,212.5,31.87,6.81,89.06,4.91,1,0,12.25,408.34
370.29,365.7,11.55,5.09,147.49,3.65,0,1,2.83,580.73
84.23,565.45,22.45,9.87,58.91,3.56,1,1,10.41,431.12
551.05,306.83,16.67,7.25,87.74,3.78,0,0,16.9,776.55
472.02,369.25,14.09,4.5,70.95,3.19,0,1,3.12,686.79
638.15,483.62,11.02,7.67,114.47,5.92,1,1,17.29,870.95
527.47,185.94,11.41,7.62,75.16,5.97,0,0,10.88,533.72
523.65,313.51,34.59,2.1,98.6,5.98,1,1,1.94,472.97
670.08,558.43,27.41,3.08,108.52,4.51,1,1,7.35,831.18
331.49,418.96,21.15,7.4,108.51,5.72,1,0,16.33,540.93
219.58,444.72,13.06,4.31,96.2,2.46,1,0,18.54,250.61
372.12,580.37,16.08,4.66,89.04,5.14,1,1,13.46,746.98
301.0,386.23,19.48,5.47,70.37,5.32,0,0,14.6,555.81
369.18,532.68,27.03,8.01,89.54,2.91,0,0,18.28,935.61
273.97,596.06,42.78,5.18,94.42,4.44,1,1,12.33,626.69
468.15,431.66,21.89,3.5,102.83,0.43,1,1,13.04,471.92
461.56,436.09,22.49,7.11,86.33,2.14,0,0,13.01,807.2
396.77,174.14,34.98,8.78,135.37,4.99,0,0,11.21,486.19
437.39,320.8,26.99,5.69,85.99,1.69,1,1,11.62,492.54
382.95,463.67,19.89,7.31,119.26,4.48,0,1,12.72,559.98
490.24,258.14,15.46,8.51,153.86,5.01,1,0,19.87,568.36
408.36,140.75,11.35,2.42,135.17,1.61,0,0,20.62,329.58
368.15,90.88,17.74,6.4,108.37,3.44,1,1,2.52,297.43
511.55,427.74,42.28,7.57,82.93,3.71,1,1,17.79,630.43
551.3,97.3,44.78,2.12,123.19,5.42,1,0,18.83,431.82
560.49,333.89,38.15,5.1,63.66,0.78,0,0,9.54,769.73
281.17,539.01,26.16,2.6,69.24,1.75,1,0,9.74,608.36
335.87,508.48,35.01,5.17,99.87,3.36,0,1,23.03,635.43
195.82,454.08,38.82,1.07,97.65,4.11,0,0,7.18,558.9
371.37,527.07,22.58,7.66,95.39,0.66,1,1,8.72,436.15
449.93,469.19,16.21,8.39,114.24,1.15,1,0,21.7,725.64
384.06,89.45,15.69,8.45,78.71,5.29,1,0,17.6,106.28
631.7,325.03,30.09,8.26,125.58,0.98,1,0,3.25,558.25
351.3,87.63,12.19,1.5,107.38,1.23,0,0,13.99,474.96
269.38,368.64,44.78,3.62,77.33,1.71,0,1,11.5,530.97
468.22,202.81,25.63,3.16,120.64,5.43,0,1,4.29,332.43
417.99,309.38,18.0,5.31,116.57,2.74,0,1,23.23,435.91
465.96,186.09,28.13,9.28,98.47,1.96,1,0,12.06,506.5
436.45,506.02,18.71,2.68,61.73,0.34,1,1,23.66,814.39
429.25,175.85,31.6,8.09,53.96,4.38,1,0,24.26,518.06
145.32,249.71,38.75,4.2,90.95,0.76,0,1,16.76,256.04
312.87,87.89,24.8,1.98,56.75,2.75,0,0,3.66,62.73
329.16,240.98,35.8,4.21,128.89,4.56,1,0,13.62,362.5
358.24,93.64,30.73,2.87,144.12,0.66,1,1,15.36,241.63
346.19,313.99,15.93,2.83,71.21,1.32,0,1,23.23,585.77
449.54,94.02,17.5,9.88,133.74,4.11,0,1,2.41,287.09
472.11,281.85,29.06,3.69,97.21,0.7,0,0,7.2,418.74
264.2,395.4,39.72,8.2,88.16,2.06,0,0,6.62,616.68
482.42,553.21,25.55,1.06,123.26,2.94,0,0,7.03,652.96
470.29,367.9,31.9,1.59,111.16,2.13,0,1,6.08,700.54
455.89,347.85,36.56,6.5,79.14,5.32,0,1,22.13,610.31
229.85,104.55,37.94,7.16,103.68,2.94,0,0,17.49,134.16
452.87,274.61,32.67,6.79,110.76,3.68,1,0,17.93,552.73
409.91,284.67,37.36,8.84,149.38,5.67,0,0,1.3,353.51
515.31,248.31,31.18,3.03,104.57,5.37,1,0,17.53,383.09
614.12,542.4,42.36,3.9,100.18,1.69,1,1,10.75,882.02
590.57,285.79,21.98,6.07,112.38,2.02,0,1,1.57,592.7
413.52,189.68,39.27,2.33,74.48,3.32,1,0,1.28,380.69
399.78,488.21,32.68,5.7,108.48,2.71,0,1,18.22,654.41
475.83,502.51,30.06,6.49,65.19,2.88,0,1,12.59,703.98
266.2,259.61,35.13,5.25,149.61,2.84,0,0,4.1,403.54
225.92,507.11,10.81,8.03,96.69,3.27,0,1,3.87,536.43
343.3,446.95,37.35,8.36,88.98,5.92,1,0,11.77,694.57
546.47,137.2,18.03,3.43,137.41,1.93,0,0,15.04,529.39
360.26,271.43,15.38,3.39,71.12,0.81,1,0,11.08,421.9
580.31,523.08,33.26,1.93,74.14,4.95,1,1,16.83,763.64
65.43,273.93,41.59,9.9,85.45,3.39,1,0,23.18,298.65
209.54,529.84,29.25,2.61,78.82,3.92,0,1,23.05,611.87
385.16,311.64,18.18,2.15,131.73,5.61,1,1,3.18,400.81
506.58,373.6,35.87,5.8,63.87,2.76,0,0,12.81,581.01
391.65,282.48,41.45,8.3,100.83,1.91,1,0,7.24,402.08
388.52,398.95,35.72,1.81,67.6,1.67,1,0,20.11,551.46
385.39,352.49,38.3,3.4,54.07,1.12,1,1,4.29,462.35
188.45,518.1,42.73,9.37,35.43,4.8,1,0,20.87,460.6
538.97,583.03,28.37,5.6,116.94,0.68,1,1,7.42,910.56
318.07,230.38,41.59,2.56,65.08,2.65,0,0,5.5,446.11
530.74,160.22,38.09,2.98,74.84,5.47,1,1,1.51,459.01
391.54,250.32,22.25,7.73,99.04,0.69,1,0,4.0,351.99
528.18,450.49,21.45,5.12,108.73,3.4,1,0,11.96,724.58
441.19,189.59,17.28,6.19,67.27,0.49,1,0,17.02,587.78
387.2,247.4,33.31,7.41,103.91,3.31,0,1,8.3,539.29
427.15,566.19,40.97,2.67,130.98,4.89,0,0,17.33,712.37
223.24,471.75,12.93,8.47,96.49,4.83,0,1,23.82,530.83
400.72,575.84,30.27,1.36,73.45,1.39,0,1,17.55,782.86
605.92,125.08,34.46,2.37,58.39,2.26,1,0,7.15,528.47
556.98,333.44,38.53,9.11,93.87,0.91,0,0,22.43,607.61
281.8,550.41,29.51,1.95,89.8,5.7,0,1,20.88,599.0
460.68,308.51,33.11,5.73,112.55,1.27,1,1,17.44,597.49
429.76,438.45,28.32,3.09,102.54,2.93,0,0,19.94,529.2
498.06,168.54,16.72,6.98,75.88,3.72,1,0,8.72,422.97
411.3,208.31,12.39,9.02,53.7,1.41,0,1,10.6,487.93
371.98,300.22,18.96,8.63,55.0,5.19,1,1,12.38,248.4
559.68,243.18,38.48,7.78,92.92,1.91,0,0,10.66,598.61
425.97,414.82,14.25,6.91,88.82,0.91,0,1,15.56,559.18
550.66,509.74,12.51,9.68,90.65,1.18,1,0,6.1,744.24
516.93,266.21,17.77,2.64,75.29,0.9,1,0,19.69,473.72
361.06,476.87,20.14,6.64,106.07,2.78,0,0,20.83,555.55
379.96,225.68,24.08,9.34,102.41,2.47,0,0,10.14,355.81
631.58,289.6,39.16,2.84,128.62,2.28,0,0,16.38,626.09
422.98,98.49,31.85,3.64,95.94,5.48,1,1,20.77,167.69
308.96,155.2,36.27,7.9,91.21,2.5,1,0,24.91,218.36
255.99,138.47,41.17,7.85,100.93,2.68,0,1,18.17,232.68
516.9,380.01,36.86,6.84,80.63,1.82,1,0,16.29,743.01
419.24,406.38,19.16,1.63,112.82,0.9,1,1,12.25,528.06
304.95,108.8,29.2,5.21,97.28,5.84,0,1,10.85,257.29
480.95,370.47,25.86,6.99,99.61,4.53,0,1,15.23,560.42
419.17,471.64,38.77,8.24,114.83,5.05,1,1,24.66,459.17
200.74,342.15,18.75,8.6,131.65,3.0,1,0,9.99,462.78
470.64,320.07,31.3,7.24,94.96,2.86,0,0,11.32,582.05
559.98,409.83,11.38,6.17,81.89,0.64,1,1,14.01,608.19
707.18,278.9,21.35,4.08,102.16,1.98,1,0,4.71,630.03
404.19,395.93,26.45,7.61,75.52,3.24,0,1,22.83,573.24
427.92,560.79,17.23,4.17,78.92,1.82,0,1,22.12,743.13
592.79,524.54,33.54,5.64,132.24,5.02,0,0,15.77,729.51
420.25,463.63,22.88,1.22,86.29,1.08,0,0,10.6,576.07
433.04,534.24,16.58,2.34,64.34,4.95,1,0,6.53,599.81
324.33,235.87,40.4,3.79,81.53,3.42,1,1,5.96,265.52
232.67,470.24,17.02,5.18,73.58,5.38,0,0,24.55,517.09
509.52,231.61,30.16,6.13,80.81,4.45,0,0,12.35,469.01
247.17,348.5,26.99,2.81,48.46,5.18,1,1,7.87,482.78
536.88,333.65,25.55,5.77,85.25,1.13,1,0,13.25,528.95
305.42,104.67,18.28,6.73,74.38,2.45,0,0,18.43,249.84
431.83,376.6,38.71,5.02,120.79,2.9,0,1,8.59,629.17
355.33,342.55,32.5,5.88,115.54,3.02,0,0,12.16,622.49
540.95,349.96,38.14,3.98,76.81,1.12,1,1,17.04,569.17
436.1,96.56,35.4,3.26,52.71,4.02,0,1,21.42,475.06
635.09,274.58,36.75,7.98,73.17,5.94,0,1,13.79,563.0
269.96,300.05,16.72,3.66,113.04,1.01,0,1,10.31,457.95
449.66,462.89,31.31,1.16,86.19,3.34,0,0,5.69,715.63
405.68,461.93,37.58,7.75,58.39,5.04,1,1,15.61,492.47
433.59,278.46,27.4,3.68,90.27,4.06,1,0,9.0,631.69
591.51,289.91,31.67,3.46,115.72,4.51,1,1,10.79,517.64
470.24,449.61,19.52,4.42,81.2,0.47,1,0,12.45,638.78
262.3,298.19,25.97,5.16,76.38,3.47,1,0,3.0,295.7
464.02,395.42,39.35,8.24,73.62,1.91,0,1,8.74,688.98
350.13,219.03,17.34,2.43,82.19,5.48,1,1,21.05,380.96
343.2,107.99,34.9,5.79,94.87,2.43,0,0,18.44,285.02
525.5,441.03,32.25,1.09,122.74,1.79,1,0,9.05,784.01
327.72,427.79,12.63,1.56,95.92,5.82,1,1,7.48,360.09
354.43,123.35,33.26,6.88,110.35,2.4,1,1,24.27,405.75
403.89,92.7,25.96,9.35,96.41,2.27,1,0,5.99,371.76
513.54,81.28,16.37,1.54,66.77,1.69,0,1,10.08,377.45
469.79,147.54,24.96,3.44,123.73,5.54,0,1,19.79,403.13
371.87,190.21,14.43,1.8,68.11,0.61,1,1,16.95,343.98
367.34,525.65,43.16,1.4,74.74,1.95,1,0,24.46,546.86
260.78,305.34,44.11,6.32,107.07,4.44,1,0,19.0,421.18
308.82,419.13,24.91,8.93,100.68,4.28,1,0,19.02,480.21
321.47,584.27,17.35,2.09,64.1,2.32,1,0,18.01,784.17
382.09,309.85,37.88,6.28,56.95,1.16,1,1,10.81,431.77
638.41,495.46,21.06,2.58,113.19,3.69,1,0,19.2,889.93
318.94,280.78,22.48,4.67,115.48,2.02,1,0,9.53,333.28
364.5,465.56,24.02,3.63,92.8,5.45,0,1,23.67,494.94
153.71,217.32,35.05,2.48,65.45,0.54,1,1,21.23,110.6
472.07,541.67,31.43,4.0,90.23,2.87,0,0,14.44,661.77
210.71,107.14,44.7,7.44,122.69,5.09,0,1,22.96,164.17
291.21,315.2,39.4,2.59,97.95,2.49,0,1,11.19,417.06
525.08,594.07,44.11,4.73,74.03,3.51,0,0,22.88,691.82
147.41,154.74,37.06,6.34,109.8,3.31,0,1,3.62,310.43
411.51,132.66,24.79,9.66,138.78,4.25,1,1,18.27,184.89
496.11,252.58,42.25,3.06,143.13,2.06,1,1,20.07,447.96
583.05,150.75,24.09,6.28,103.17,5.73,1,1,22.37,495.93
289.59,432.44,13.52,1.28,88.71,3.96,0,1,24.36,525.01
325.12,399.5,17.75,3.25,52.69,5.01,1,0,17.3,350.09
616.53,353.6,44.26,5.63,71.51,1.76,0,1,20.63,722.35
396.99,584.55,16.35,5.53,122.06,4.47,0,1,6.19,893.86
311.65,244.3,23.83,9.99,109.59,2.32,1,1,5.52,404.03
313.9,310.9,39.06,2.75,94.46,0.6,1,1,23.39,377.79
283.29,320.93,27.62,6.69,69.28,5.0,1,0,4.67,437.4
347.24,446.64,32.9,1.57,108.95,2.46,0,0,24.54,496.49
530.59,198.23,40.56,8.93,105.29,1.29,0,1,13.17,373.04
506.53,472.88,13.77,1.8,102.86,1.22,1,0,11.72,762.78
259.09,176.36,26.7,5.27,71.12,3.05,0,1,18.79,419.76
425.75,588.06,21.32,7.66,73.1,4.36,1,0,2.34,668.38
351.74,575.26,32.19,5.86,57.5,3.81,0,0,13.34,728.16
493.89,287.75,27.34,3.67,34.98,1.15,0,0,21.27,537.22
381.24,537.52,21.96,8.62,76.64,4.25,0,1,10.73,736.84
444.58,285.04,17.09,8.05,95.54,3.49,1,1,13.22,414.29
380.97,361.43,15.07,9.07,78.28,2.94,0,1,1.12,339.33
137.55,468.8,36.01,6.29,118.04,3.22,1,0,10.82,480.77
405.64,474.47,38.95,5.02,57.74,3.37,0,1,16.11,750.52
247.39,540.65,37.44,8.29,122.94,4.28,0,1,18.11,417.15
489.66,320.12,33.55,7.15,110.88,4.64,1,0,20.5,479.16
318.42,388.75,31.91,3.29,58.79,1.27,1,0,9.47,488.23
327.4,376.34,24.3,4.08,154.53,5.64,1,0,21.05,574.17
398.93,342.9,32.36,6.28,84.29,4.11,1,1,16.03,510.48
469.34,441.23,14.11,1.38,64.83,0.9,0,0,10.62,707.33
379.63,214.98,29.96,2.13,65.9,4.16,1,1,12.7,304.12
597.06,113.95,30.33,4.93,78.05,0.57,1,0,8.45,462.01
597.86,349.72,27.34,3.28,80.96,2.96,0,0,20.85,548.49
605.86,302.75,38.12,8.31,75.44,3.96,1,1,5.91,507.58
371.88,354.14,22.93,5.13,97.3,1.62,0,1,10.68,329.98
222.16,398.71,21.27,8.18,121.09,2.37,1,0,9.84,610.26
546.41,269.76,13.72,3.6,73.27,0.71,1,0,15.24,646.05
350.04,239.63,21.12,1.61,96.75,3.86,1,0,5.48,326.76
404.58,431.38,22.76,9.63,117.1,2.8,1,0,10.78,480.82
475.4,288.25,13.09,4.01,77.21,1.86,0,1,10.94,653.52
207.47,513.23,35.83,6.65,72.47,5.22,1,0,4.48,473.78
595.49,476.38,11.19,4.78,94.26,1.2,1,1,1.3,726.87
505.0,548.7,41.73,7.66,9.96,0.75,0,0,16.95,977.25
442.27,130.02,13.61,6.74,88.35,2.62,1,1,18.63,613.82
506.91,163.66,18.22,6.45,140.8,5.0,0,1,10.3,516.92
466.83,396.09,16.0,2.67,78.92,5.3,1,0,13.59,491.68
414.02,448.4,32.34,7.25,131.48,0.34,0,0,2.1,455.76
363.07,189.69,44.66,6.62,100.23,0.98,0,0,21.76,288.4
311.3,92.63,39.19,4.72,84.31,3.36,1,0,4.23,211.66
434.47,528.02,12.39,3.97,95.76,0.91,0,1,22.88,692.08
443.34,484.65,13.9,8.53,101.14,1.69,0,1,10.93,788.93
529.98,559.0,28.77,2.56,74.14,4.81,1,0,9.8,681.79
424.08,230.64,37.3,7.15,53.49,1.51,1,1,14.9,436.75
297.62,345.07,34.93,3.98,83.19,1.44,1,1,6.2,453.98
210.85,457.95,27.86,4.31,72.51,2.03,1,1,20.37,443.58
384.69,405.44,10.9,4.89,105.35,3.65,0,0,4.63,618.43
396.7,86.46,44.51,9.11,107.0,1.52,0,1,23.7,243.74
388.23,345.13,36.63,1.15,78.92,3.05,0,0,20.32,361.3
216.34,590.57,31.41,1.48,103.09,1.51,0,1,21.9,544.81
528.94,200.81,34.91,6.88,100.53,0.33,1,0,23.56,490.91
528.72,317.08,30.88,1.39,34.03,2.46,1,0,10.23,698.58
301.21,499.91,34.58,7.26,114.18,5.74,1,1,12.07,640.29
496.72,218.38,21.55,6.57,55.79,2.04,1,1,14.06,530.04
514.34,291.48,38.36,7.73,84.19,4.68,1,1,5.7,584.21
404.61,439.04,12.39,1.05,130.12,1.91,0,1,2.86,518.93
286.18,313.94,26.91,4.1,110.88,4.85,0,1,3.19,416.66
593.61,576.12,43.54,4.09,56.77,1.42,1,0,15.85,827.78
445.71,522.1,29.97,1.11,91.72,1.79,1,0,18.87,506.56
369.88,230.79,17.77,2.66,91.09,2.51,0,1,21.55,389.11
492.74,80.29,29.03,5.29,96.83,0.47,0,0,5.62,407.59
594.67,358.84,18.71,2.6,55.8,2.23,1,1,21.45,662.64
340.34,523.7,21.61,2.68,144.67,1.27,1,0,22.27,793.59
482.97,552.77,10.0,6.48,100.95,3.28,0,0,16.44,815.93
633.18,143.45,41.02,3.58,93.21,5.46,1,0,24.37,679.81
266.01,543.53,14.64,4.29,113.69,3.78,1,0,9.91,459.36
334.09,338.79,37.73,4.29,85.35,4.68,0,1,3.22,542.88
328.26,589.18,36.21,3.14,105.53,3.55,1,0,7.26,683.32
381.0,496.89,10.68,3.97,71.39,5.9,0,1,3.29,620.06
374.8,166.63,10.63,3.01,73.58,3.32,1,0,12.6,350.7
436.1,354.03,21.99,4.8,103.85,5.67,0,1,6.17,529.47
301.55,538.26,21.67,2.9,90.17,5.2,0,0,3.19,560.79
325.28,503.0,28.26,2.12,88.87,4.48,0,1,2.18,630.06
436.15,583.42,14.11,7.96,99.22,4.07,1,0,7.9,767.9
418.59,513.79,28.8,8.99,60.77,2.81,0,1,6.88,467.44
504.89,595.4,37.25,9.1,24.73,1.72,1,1,19.14,553.81
449.12,352.8,36.51,3.12,83.35,3.89,1,0,11.15,620.06
492.62,390.06,38.68,8.22,55.86,2.34,1,1,14.15,539.42
262.85,116.32,34.09,4.96,98.94,4.13,1,1,15.79,224.94
353.99,284.91,20.03,3.29,117.68,1.89,1,1,3.08,411.46
621.81,244.06,39.21,2.63,85.19,4.12,0,0,4.48,659.81
447.05,556.85,31.55,1.61,54.62,3.27,1,0,19.98,869.53
489.69,252.24,19.31,5.5,86.8,1.27,1,1,20.16,384.95
432.73,540.78,22.88,6.68,68.65,3.25,1,1,13.29,762.51
451.04,204.38,28.15,7.93,118.61,4.93,0,1,23.15,334.9
372.29,382.64,11.0,7.76,90.16,1.36,0,0,17.88,722.99
828.59,358.02,40.57,8.46,120.11,2.4,1,0,16.19,867.81
352.46,131.2,24.17,3.06,69.56,3.93,1,1,22.26,191.42
395.4,244.92,23.09,7.99,89.46,4.92,0,1,11.74,330.77
109.02,592.62,16.81,2.63,71.01,2.42,0,0,16.84,439.83
532.75,389.13,26.9,6.83,102.19,0.62,0,1,16.06,558.54
333.73,509.81,18.45,8.66,82.59,4.06,0,0,15.41,633.29
392.7,454.13,39.12,1.02,71.97,3.92,0,0,17.66,688.04
336.64,548.17,44.91,9.92,54.64,4.78,1,0,10.37,743.42
383.36,259.13,22.32,1.28,110.98,0.52,0,0,3.19,427.34
365.89,194.95,15.36,6.79,105.5,2.82,1,1,10.53,345.81
394.83,117.18,11.97,2.27,76.06,5.78,1,1,15.27,206.23
393.66,517.71,29.95,9.98,71.25,1.46,1,1,22.79,645.12
381.5,351.87,36.37,1.8,102.13,1.53,1,0,12.69,432.75
379.85,454.03,41.62,9.85,121.4,3.29,0,0,5.13,681.43
557.02,113.32,12.13,4.68,0.46,4.55,0,0,14.01,564.56
505.77,520.2,43.42,2.64,118.3,4.43,1,0,19.74,836.33
506.49,383.0,22.58,3.29,97.92,3.39,0,1,10.06,598.98
312.11,141.25,12.15,6.22,102.41,5.99,1,0,20.22,432.3
550.82,339.21,13.66,1.21,79.12,4.8,1,0,3.1,528.58
535.8,390.5,34.51,8.91,65.02,3.45,0,0,1.41,816.35
333.59,257.19,22.97,4.1,97.75,2.85,1,1,1.47,448.5
582.86,449.78,30.49,3.23,48.81,1.99,0,0,10.29,718.92
318.01,382.29,40.23,5.05,122.65,2.38,1,0,15.32,494.01
178.96,517.02,25.07,2.35,102.29,2.29,1,1,6.23,578.85
532.18,529.01,30.7,9.07,64.38,2.43,1,0,11.88,840.71
385.66,112.37,40.3,9.93,104.76,4.41,0,0,3.77,182.84
517.23,416.17,44.55,4.48,52.56,4.93,1,1,14.18,784.21
309.5,455.76,36.08,1.55,105.6,5.64,0,0,3.43,375.18
248.59,154.16,33.27,9.92,109.51,0.44,1,0,14.08,322.71
547.82,539.39,22.61,8.37,91.27,1.96,0,1,7.75,625.39
231.13,525.37,43.11,6.56,104.54,4.32,1,0,20.41,658.9
212.68,152.54,29.6,8.63,65.55,4.49,1,1,6.61,252.41
168.93,539.31,23.51,7.19,26.97,5.31,0,1,7.99,726.51
64.66,416.25,24.74,6.85,108.07,1.45,1,1,24.12,470.88
275.31,489.13,11.03,2.09,115.24,0.44,0,1,8.46,423.65
139.67,495.25,35.11,8.46,121.52,5.2,1,1,9.73,568.11
395.73,164.15,35.09,9.01,85.89,2.76,0,0,9.75,363.35
131.63,112.59,21.12,7.09,64.39,0.87,1,0,11.06,148.06
