ConsumoProm_kWh,DemandaMax_kW,FactorCarga,HorasPico_Mes,TemperaturaMedia_C,UsoHVAC_%,UsoProceso_%,EmisionesCO2_tn,TipoCliente
535.74,66.17,0.69,188.3,36.69,23.3,8.0,5.39,Comercial
87.33,67.23,0.85,187.6,30.14,43.4,56.6,3.74,Industrial
287.27,102.83,0.63,127.6,32.47,56.0,55.5,4.84,Comercial
288.26,70.81,0.48,106.0,15.55,80.9,50.9,4.69,Residencial
472.0,65.32,0.6,65.9,14.59,70.8,61.4,6.28,Industrial
579.27,90.41,0.9,162.9,33.23,40.9,12.7,4.17,Residencial
384.58,85.47,0.36,141.6,19.41,50.7,33.4,5.63,Industrial
349.46,80.28,0.53,43.6,17.67,46.0,60.9,5.66,Comercial
577.39,57.3,0.82,128.7,36.01,30.1,12.3,4.32,Comercial
479.45,57.52,0.47,136.6,32.54,64.4,65.2,1.18,Industrial
417.69,84.2,0.3,183.0,21.96,16.9,72.1,2.27,Industrial
577.23,100.72,0.74,119.1,17.95,51.8,62.3,1.23,Industrial
433.22,72.79,0.4,104.5,37.68,23.3,11.1,6.49,Comercial
334.11,109.93,0.82,167.4,38.13,48.3,11.0,1.08,Industrial
595.48,116.18,0.5,174.8,34.8,36.2,13.5,1.2,Comercial
467.08,96.37,0.64,191.5,11.07,57.1,41.4,1.27,Industrial
326.81,57.47,0.4,138.3,35.61,27.7,50.0,1.12,Comercial
271.54,84.2,0.42,152.0,10.21,49.7,41.7,2.66,Residencial
403.68,122.74,0.72,33.2,14.39,25.0,43.2,4.26,Comercial
457.31,64.06,0.62,127.0,24.06,37.3,66.9,4.95,Industrial
378.36,95.26,0.41,39.5,19.52,89.7,11.9,3.83,Industrial
342.01,61.71,0.58,89.2,17.29,23.2,73.3,4.75,Residencial
427.57,93.45,0.56,33.6,38.79,36.2,48.0,3.81,Comercial
661.19,107.02,0.65,156.1,22.33,78.4,72.6,0.74,Residencial
470.32,72.41,0.94,51.4,39.16,75.2,6.3,3.62,Industrial
495.8,68.34,0.79,39.3,20.26,33.7,71.7,1.27,Industrial
407.02,78.72,0.88,45.7,17.68,78.7,32.1,0.58,Comercial
479.47,82.2,0.85,82.8,28.48,41.1,25.9,3.69,Industrial
423.15,79.75,0.61,41.1,14.83,17.3,47.3,3.48,Comercial
520.56,122.66,0.91,124.5,26.57,41.8,55.6,6.45,Comercial
395.68,86.26,0.47,181.1,16.51,28.6,35.1,0.77,Industrial
503.54,84.71,0.34,91.2,15.39,49.3,21.4,2.54,Comercial
434.39,63.42,0.36,109.2,17.82,16.1,50.7,2.94,Industrial
525.38,68.05,0.87,84.3,13.24,61.2,52.8,2.95,Comercial
241.41,84.44,0.53,61.1,20.68,54.1,67.8,3.82,Industrial
370.26,54.23,0.81,51.1,34.18,28.1,25.1,2.22,Residencial
687.86,101.25,0.39,193.1,37.66,10.1,55.8,2.91,Comercial
664.53,97.42,0.64,86.0,31.63,40.8,53.9,0.36,Comercial
783.76,89.85,0.79,84.4,14.63,72.6,20.7,4.17,Comercial
488.24,96.22,0.63,62.7,14.66,49.3,24.0,6.66,Comercial
382.14,67.11,0.8,184.5,25.09,21.4,12.7,6.83,Comercial
542.48,87.28,0.88,175.5,33.61,86.3,13.1,3.55,Residencial
349.15,53.23,0.48,76.4,14.81,63.7,23.9,2.91,Industrial
566.73,82.6,0.4,151.2,15.08,39.4,7.0,6.55,Industrial
279.87,70.92,0.41,81.7,27.04,29.4,52.2,2.3,Industrial
528.11,105.2,0.31,112.9,23.84,75.5,36.4,6.71,Industrial
188.0,99.87,0.91,171.5,31.11,48.2,10.3,0.86,Industrial
424.53,90.59,0.53,95.1,11.94,40.9,42.6,1.42,Comercial
670.73,95.13,0.54,50.8,18.45,67.8,54.3,6.71,Comercial
165.91,80.36,0.38,182.4,35.21,62.8,58.1,4.25,Industrial
474.95,93.83,0.34,110.5,38.04,35.4,45.3,2.04,Comercial
351.03,111.42,0.49,50.2,12.66,13.2,77.3,4.55,Industrial
645.28,91.64,0.58,42.9,10.99,83.8,44.7,5.27,Residencial
161.22,96.16,0.37,165.9,24.72,36.1,37.4,4.98,Comercial
227.41,90.58,0.59,41.8,10.06,88.8,41.5,2.36,Comercial
751.42,64.75,0.6,147.1,24.01,64.6,58.7,2.89,Industrial
356.8,153.74,0.31,54.5,36.86,85.9,42.8,4.92,Industrial
400.8,97.71,0.35,109.6,16.56,65.3,46.8,4.72,Industrial
362.56,88.16,0.92,46.9,31.89,69.2,71.0,3.19,Comercial
504.73,93.14,0.22,43.2,15.06,33.5,67.3,5.0,Industrial
364.82,69.98,0.7,172.0,22.35,77.5,48.0,0.79,Residencial
386.21,77.79,0.76,198.4,29.05,18.5,51.0,4.96,Comercial
286.22,79.39,0.95,58.4,29.29,43.5,65.7,4.32,Comercial
446.76,70.63,0.73,179.9,17.43,63.6,66.6,3.53,Industrial
485.22,95.54,0.58,106.5,25.93,85.2,61.7,1.74,Residencial
578.54,44.59,0.33,149.4,10.66,69.5,33.0,5.52,Comercial
500.42,74.93,0.58,116.3,14.14,52.2,66.9,0.52,Industrial
469.41,73.89,0.94,90.5,20.59,20.2,33.2,4.55,Comercial
410.05,88.17,0.45,147.8,32.01,40.9,24.5,6.34,Comercial
611.82,97.68,0.82,188.4,20.06,85.3,22.6,5.71,Residencial
237.65,59.52,0.67,175.4,12.51,61.8,53.1,2.03,Residencial
342.8,115.65,0.9,24.9,11.83,34.1,17.1,2.04,Residencial
352.87,72.04,0.31,75.0,13.77,55.7,64.0,1.85,Industrial
305.63,78.93,0.66,58.1,20.01,42.2,62.6,4.82,Industrial
452.43,82.04,0.83,94.3,20.92,33.4,17.4,0.99,Industrial
382.69,86.57,0.6,34.4,39.23,50.8,47.3,2.48,Residencial
506.3,117.03,0.67,43.3,34.07,13.9,38.7,6.71,Industrial
265.26,100.93,0.47,47.0,21.52,78.6,61.3,4.05,Industrial
433.95,59.01,0.61,99.7,13.12,28.3,60.2,6.03,Comercial
617.11,73.01,0.71,30.4,10.05,39.2,25.4,1.29,Comercial
291.88,56.46,0.48,74.1,12.44,17.8,58.9,4.09,Industrial
344.48,98.16,0.93,160.3,34.81,36.1,59.9,3.38,Industrial
457.31,91.0,0.42,24.7,27.01,87.2,35.1,6.93,Residencial
320.94,104.71,0.63,76.3,27.0,84.7,22.6,4.54,Comercial
325.14,104.02,0.66,146.8,25.83,18.8,21.7,4.75,Comercial
340.14,92.9,0.25,152.3,37.09,59.7,77.1,2.54,Residencial
379.99,106.56,0.29,80.1,18.56,35.5,28.1,3.42,Comercial
302.44,66.93,0.34,67.9,29.19,14.2,17.0,0.24,Residencial
827.35,110.52,0.85,92.1,22.82,34.7,49.8,5.37,Industrial
280.79,86.27,0.85,23.5,10.99,50.7,59.4,4.38,Comercial
383.0,109.27,0.32,23.5,28.72,33.4,16.3,2.4,Industrial
669.26,58.37,0.42,23.8,20.53,71.3,72.6,3.33,Comercial
424.74,66.86,0.86,186.8,29.25,84.4,6.6,0.29,Industrial
430.86,45.22,0.7,165.3,38.51,62.0,43.3,5.49,Residencial
144.8,109.23,0.77,151.7,23.43,62.6,67.3,1.52,Industrial
526.97,98.48,0.24,42.0,19.56,21.1,55.5,3.86,Industrial
486.54,83.87,0.49,91.8,28.81,59.8,6.0,3.89,Industrial
416.87,89.57,0.39,101.7,13.45,19.5,39.4,0.99,Industrial
280.42,85.73,0.75,184.1,26.04,81.0,52.9,3.33,Industrial
344.88,73.6,0.62,134.3,10.3,72.9,76.1,2.18,Residencial
406.81,113.76,0.45,198.8,22.13,71.6,9.2,2.37,Comercial
557.18,47.69,0.55,193.2,35.6,40.1,67.3,4.7,Comercial
457.81,46.71,0.77,162.9,16.2,86.7,6.8,5.43,Industrial
115.26,129.11,0.45,34.1,20.45,20.6,70.2,3.45,Comercial
194.75,84.91,0.51,172.6,33.52,68.9,50.0,6.17,Industrial
336.98,80.67,0.38,34.4,32.47,22.1,32.9,3.82,Industrial
565.32,109.73,0.23,161.8,29.93,19.7,67.3,4.71,Industrial
179.74,81.3,0.78,59.9,19.45,78.8,25.9,1.68,Industrial
406.31,90.25,0.23,83.4,25.12,52.5,65.5,0.28,Industrial
363.3,89.92,0.41,82.4,31.69,80.5,8.0,5.6,Comercial
380.25,59.5,0.65,57.9,15.6,12.7,17.2,5.66,Comercial
550.71,72.21,0.34,30.1,13.53,59.7,28.6,3.18,Residencial
573.43,111.23,0.42,132.9,14.14,65.3,65.3,3.99,Industrial
435.32,98.35,0.31,120.3,20.46,47.7,76.4,1.27,Industrial
166.77,90.74,0.73,89.8,11.94,60.4,39.2,6.52,Comercial
549.76,98.45,0.5,63.5,30.88,39.9,31.5,0.27,Industrial
579.7,97.07,0.51,107.9,31.21,23.8,27.3,1.07,Industrial
297.66,118.92,0.58,101.4,30.62,22.4,27.8,4.08,Residencial
294.81,70.52,0.42,106.1,39.04,57.3,7.1,2.24,Residencial
618.28,111.15,0.41,47.4,10.77,72.6,12.2,5.78,Industrial
294.38,84.79,0.78,143.9,22.2,87.2,31.3,6.85,Residencial
562.34,59.53,0.79,152.5,40.0,36.3,51.2,4.65,Comercial
470.57,94.8,0.77,169.0,31.95,47.2,65.4,4.67,Industrial
529.02,64.82,0.23,118.4,33.1,28.2,72.8,1.64,Comercial
426.41,114.66,0.86,57.2,25.89,66.7,41.0,4.63,Comercial
522.34,83.55,0.93,193.3,35.26,77.3,27.1,3.8,Comercial
173.76,95.17,0.89,182.9,18.15,49.5,54.0,0.2,Industrial
285.61,79.06,0.23,176.0,11.13,37.7,13.9,6.51,Comercial
291.56,72.72,0.61,144.2,16.36,17.4,19.4,5.45,Comercial
329.24,90.38,0.3,179.5,33.34,34.6,42.1,6.9,Comercial
407.2,94.33,0.37,121.5,31.54,49.0,41.1,4.16,Industrial
482.58,92.79,0.95,175.8,33.57,59.8,16.7,1.2,Comercial
506.29,69.94,0.41,23.9,32.84,48.6,24.4,3.86,Industrial
211.62,85.99,0.23,145.4,20.7,80.5,11.9,3.51,Comercial
436.51,105.43,0.53,193.1,31.74,26.7,13.3,0.57,Comercial
335.38,43.98,0.79,173.2,33.77,10.2,75.8,3.2,Comercial
285.92,59.97,0.69,156.8,17.86,62.4,68.6,5.34,Residencial
611.85,94.48,0.85,109.1,34.43,75.4,16.0,6.3,Comercial
370.65,104.41,0.4,92.1,39.74,79.8,52.7,5.93,Industrial
437.8,46.8,0.6,186.2,24.23,17.5,19.7,3.58,Residencial
299.27,72.38,0.78,91.6,32.35,56.5,69.9,4.54,Residencial
499.32,80.0,0.72,54.9,20.34,10.5,16.4,0.69,Comercial
345.77,47.44,0.82,58.2,19.67,54.2,47.0,1.04,Industrial
316.97,56.04,0.74,93.0,11.44,49.0,36.0,5.23,Residencial
318.24,65.65,0.32,158.0,26.2,59.7,65.2,5.09,Comercial
528.43,44.16,0.53,61.5,36.28,22.8,72.9,3.21,Residencial
638.61,66.69,0.92,89.8,20.75,88.8,37.1,5.05,Industrial
508.68,154.93,0.27,106.0,22.35,76.5,62.5,6.43,Residencial
181.72,113.53,0.34,83.4,37.84,56.2,37.7,4.23,Comercial
367.89,84.25,0.57,131.9,23.41,58.9,66.3,0.55,Residencial
761.83,53.45,0.25,76.7,39.38,62.8,10.3,3.98,Industrial
471.07,49.99,0.27,74.5,31.11,77.9,26.0,5.37,Industrial
368.58,66.1,0.73,191.0,23.68,16.5,20.3,0.29,Comercial
444.91,72.22,0.66,101.5,21.0,74.3,57.1,0.9,Comercial
249.25,57.53,0.94,36.9,21.17,69.1,20.8,0.76,Industrial
390.76,62.32,0.75,43.0,17.14,64.6,55.9,2.01,Industrial
319.77,57.69,0.48,138.9,21.43,22.1,57.4,5.83,Industrial
372.54,76.12,0.29,164.3,30.35,35.2,22.0,1.11,Comercial
496.41,97.71,0.92,165.2,24.29,56.5,77.9,4.44,Comercial
561.29,110.67,0.43,194.7,32.39,88.5,40.8,3.62,Comercial
282.67,32.26,0.76,84.0,32.42,37.0,19.4,5.24,Comercial
224.09,98.75,0.37,91.9,17.17,33.0,15.6,0.45,Comercial
474.7,95.8,0.67,120.3,25.96,17.1,38.2,1.79,Comercial
460.02,102.25,0.25,44.4,10.7,66.0,41.7,3.74,Industrial
496.03,90.1,0.69,141.2,16.97,10.1,22.9,5.82,Industrial
266.06,81.74,0.85,148.9,26.89,40.3,62.6,1.78,Comercial
522.39,121.5,0.56,56.5,21.01,45.7,16.0,3.92,Comercial
335.77,58.6,0.54,116.7,16.24,28.0,20.7,4.73,Industrial
541.08,60.12,0.8,139.4,15.12,71.1,19.0,1.35,Comercial
489.09,102.56,0.47,44.9,15.77,45.2,22.2,6.23,Comercial
429.78,82.91,0.51,93.3,24.46,55.4,43.1,1.19,Residencial
300.83,70.78,0.63,81.5,14.9,24.2,5.4,0.82,Industrial
263.14,78.23,0.78,115.7,20.3,11.8,25.0,3.57,Residencial
322.26,67.62,0.87,46.6,32.67,15.2,65.6,0.96,Industrial
280.56,62.98,0.27,119.6,29.63,16.5,36.3,0.98,Industrial
451.58,99.99,0.82,149.0,24.04,17.8,15.7,6.67,Industrial
384.79,118.98,0.93,192.4,32.93,27.5,25.3,5.1,Industrial
442.76,71.31,0.62,81.2,30.95,32.8,63.3,2.18,Residencial
396.86,66.67,0.89,90.7,23.34,37.7,60.3,4.33,Comercial
429.94,87.71,0.8,22.5,29.64,21.1,53.5,5.65,Residencial
420.29,118.61,0.3,154.6,36.26,20.6,62.7,6.79,Residencial
409.19,85.91,0.27,139.4,10.32,42.5,23.5,5.42,Industrial
454.12,79.63,0.55,191.9,17.68,73.8,70.6,1.26,Comercial
242.76,99.05,0.36,53.1,20.5,38.4,13.1,4.24,Comercial
294.98,104.03,0.91,151.2,37.13,25.8,54.8,6.37,Comercial
326.17,73.3,0.32,141.7,27.55,57.6,69.9,0.94,Industrial
66.97,102.29,0.24,116.9,25.4,59.6,36.5,6.73,Comercial
635.7,86.28,0.7,183.4,25.08,35.2,60.2,1.29,Industrial
316.98,63.68,0.52,138.0,32.08,41.5,24.6,1.69,Comercial
429.91,96.88,0.28,45.5,17.48,13.3,48.9,5.57,Residencial
355.12,68.42,0.36,73.8,36.85,24.5,9.7,6.95,Comercial
311.85,105.73,0.46,180.2,39.06,77.9,76.2,3.67,Comercial
272.87,78.41,0.68,186.7,20.5,20.8,36.0,0.84,Comercial
484.12,89.27,0.81,57.6,34.66,83.6,44.8,3.21,Comercial
476.32,84.26,0.24,22.7,22.92,45.3,48.8,4.54,Comercial
432.01,72.49,0.34,118.4,12.68,12.6,49.5,0.31,Industrial
569.53,32.1,0.58,23.9,16.97,43.9,63.3,5.13,Industrial
500.13,66.95,0.55,52.4,24.18,81.5,25.8,6.45,Residencial
355.94,64.72,0.7,62.8,12.64,12.4,32.7,5.86,Industrial
427.14,55.34,0.94,68.4,21.27,67.2,35.5,4.77,Industrial
374.22,48.8,0.77,130.7,19.05,59.3,57.9,1.49,Industrial
676.43,95.93,0.51,102.1,10.4,17.6,66.1,3.12,Residencial
441.3,78.83,0.52,41.1,10.22,49.8,35.8,2.35,Residencial
129.08,38.76,0.25,118.3,20.76,12.3,59.8,4.51,Residencial
706.65,95.54,0.93,47.0,10.59,67.4,24.8,3.71,Comercial
227.56,40.67,0.2,101.2,24.79,67.4,30.8,5.55,Industrial
693.1,85.46,0.63,164.7,31.45,14.3,49.2,5.41,Residencial
425.14,77.74,0.36,195.8,12.59,77.6,58.1,6.16,Industrial
431.4,93.03,0.43,164.4,11.13,21.9,19.1,2.63,Industrial
469.5,101.49,0.6,84.0,30.54,29.5,23.5,3.54,Comercial
398.7,111.11,0.73,181.3,38.06,18.5,19.0,6.4,Residencial
504.79,99.99,0.46,27.3,20.36,37.9,56.8,6.77,Comercial
375.9,78.14,0.94,21.3,16.55,21.8,38.0,6.73,Comercial
229.33,54.27,0.53,63.9,15.43,29.9,16.8,1.41,Industrial
473.9,82.22,0.62,184.0,21.81,61.8,16.0,4.97,Comercial
458.26,91.59,0.88,108.6,12.28,88.1,57.9,1.18,Comercial
426.44,89.34,0.58,177.2,26.38,56.3,11.3,5.78,Comercial
582.05,56.76,0.48,37.6,37.69,24.7,22.8,6.22,Residencial
484.1,89.17,0.8,168.2,26.24,55.0,29.9,5.11,Industrial
493.54,78.01,0.48,64.7,31.53,33.2,46.0,6.74,Comercial
445.42,123.12,0.79,112.8,35.6,60.1,18.6,6.92,Comercial
298.06,93.87,0.6,152.4,19.58,49.7,65.3,2.63,Industrial
339.66,87.79,0.88,83.5,21.1,20.9,27.0,0.94,Residencial
438.66,109.03,0.31,140.1,38.05,24.5,35.5,2.98,Comercial
328.11,125.07,0.52,96.2,17.81,64.6,69.1,4.67,Comercial
490.84,105.76,0.9,117.9,16.64,64.3,46.3,0.6,Comercial
507.33,76.96,0.55,102.1,26.91,86.3,34.1,6.55,Comercial
510.01,89.55,0.55,196.7,36.43,34.1,43.4,1.51,Comercial
610.71,96.52,0.88,174.1,13.27,22.1,73.8,1.46,Comercial
305.95,70.53,0.79,161.4,39.32,62.6,13.4,6.27,Industrial
145.19,112.96,0.37,199.5,19.88,31.6,21.1,2.91,Industrial
428.94,46.69,0.58,71.1,30.03,27.6,40.6,3.71,Comercial
560.58,73.48,0.59,97.4,31.1,65.8,51.8,3.11,Industrial
328.27,61.33,0.41,118.2,11.61,10.4,61.0,0.39,Industrial
392.07,79.44,0.35,71.2,17.31,11.2,42.9,4.82,Industrial
429.78,76.01,0.91,104.4,13.74,24.0,67.5,6.2,Comercial
393.29,83.03,0.57,156.7,38.06,62.9,16.1,5.49,Industrial
490.81,96.82,0.8,59.9,25.21,87.8,60.0,5.72,Comercial
434.25,68.94,0.51,120.8,13.38,15.1,7.0,4.35,Residencial
230.27,91.02,0.79,92.3,14.61,25.3,47.1,6.91,Comercial
668.75,44.82,0.5,198.6,20.35,89.7,59.3,0.39,Residencial
517.16,89.54,0.76,125.7,10.37,20.3,25.7,5.94,Residencial
430.77,97.67,0.38,116.2,25.8,86.6,20.3,5.88,Industrial
440.27,90.48,0.43,71.7,36.18,56.4,46.8,3.74,Comercial
283.64,94.05,0.51,173.0,29.73,75.2,53.5,0.45,Comercial
259.87,89.89,0.29,139.9,24.61,38.6,69.8,6.14,Comercial
300.39,63.88,0.74,192.5,32.48,70.4,27.1,6.72,Comercial
524.5,53.54,0.44,46.2,15.63,82.6,31.5,6.36,Industrial
664.64,68.23,0.52,180.0,34.72,14.8,72.7,6.84,Comercial
551.23,84.81,0.95,32.4,13.59,49.6,56.8,2.62,Residencial
386.81,52.0,0.4,91.7,11.95,77.2,25.5,6.17,Industrial
511.83,61.97,0.86,150.4,38.16,41.8,27.7,5.13,Comercial
619.45,59.96,0.71,169.5,12.35,86.1,68.3,5.95,Comercial
325.6,84.72,0.25,173.5,38.15,54.4,10.2,4.44,Residencial
582.16,100.88,0.49,119.7,11.61,17.6,44.9,1.13,Industrial
528.78,61.24,0.85,38.3,24.88,39.7,42.4,1.98,Industrial
308.39,54.48,0.47,51.4,26.79,21.9,65.9,2.08,Comercial
505.33,83.54,0.68,145.7,33.68,31.3,27.5,3.17,Industrial
727.63,34.78,0.31,44.5,29.28,35.3,73.8,0.26,Comercial
388.65,89.17,0.95,142.0,28.44,61.0,58.9,2.46,Industrial
564.92,55.44,0.73,111.3,38.82,36.4,78.6,2.68,Industrial
385.81,64.27,0.84,52.3,26.24,51.8,10.4,4.53,Comercial
552.16,60.97,0.5,79.4,20.58,14.9,30.4,2.21,Comercial
322.79,70.2,0.22,55.9,16.18,86.9,26.1,5.93,Industrial
368.98,115.97,0.44,41.8,23.3,67.8,15.1,4.38,Industrial
470.86,85.78,0.51,143.4,22.16,49.6,55.8,4.57,Residencial
600.71,83.56,0.86,163.3,36.47,69.3,56.8,0.53,Industrial
612.89,91.47,0.92,54.4,36.62,23.8,47.2,2.6,Comercial
372.0,58.94,0.86,141.0,36.91,44.5,18.4,5.52,Industrial
559.7,104.66,0.57,88.7,36.62,59.0,11.0,4.65,Comercial
536.65,94.89,0.25,71.7,37.95,84.4,42.0,3.4,Industrial
653.87,48.27,0.32,161.6,20.47,76.9,8.5,5.92,Industrial
370.88,51.19,0.51,179.7,29.11,79.2,73.1,2.68,Industrial
339.17,70.36,0.89,132.6,19.8,42.7,63.5,4.01,Comercial
608.9,83.84,0.94,22.9,37.38,34.8,66.1,6.53,Industrial
269.41,110.77,0.62,143.7,15.13,76.8,69.5,5.92,Residencial
349.85,112.69,0.27,32.7,26.02,49.2,37.0,6.02,Comercial
318.35,83.29,0.33,76.0,38.01,30.7,70.0,1.17,Comercial
476.05,73.17,0.21,71.7,31.96,82.3,58.3,5.24,Residencial
320.47,104.2,0.87,40.8,13.83,32.2,72.3,5.93,Comercial
314.09,103.87,0.68,108.3,11.71,37.2,57.1,5.78,Comercial
496.59,115.42,0.32,197.1,20.6,45.7,46.2,1.32,Residencial
652.41,86.61,0.25,191.5,13.94,63.5,13.8,3.95,Industrial
515.44,64.61,0.45,169.9,32.21,12.7,28.7,6.1,Industrial
512.39,54.82,0.87,89.7,32.45,41.1,76.8,6.61,Residencial
411.98,92.66,0.39,34.2,23.36,20.0,62.7,6.66,Industrial
471.08,73.72,0.35,187.2,11.95,47.1,63.6,5.79,Residencial
382.33,73.72,0.6,192.9,39.79,68.1,57.8,1.03,Comercial
361.0,66.01,0.69,85.8,10.0,22.4,78.6,0.98,Industrial
248.91,65.02,0.82,27.7,35.87,26.8,7.5,6.62,Comercial
382.94,86.34,0.72,162.4,38.86,18.3,58.6,6.61,Industrial
411.64,80.57,0.39,99.8,16.35,37.8,22.2,2.15,Comercial
553.06,88.51,0.42,51.6,35.91,19.5,61.6,1.05,Industrial
445.05,73.91,0.68,71.3,13.94,50.0,43.8,4.41,Residencial
396.39,91.11,0.81,109.2,38.79,87.2,36.2,0.44,Industrial
217.96,121.75,0.39,183.0,16.41,38.2,59.4,4.58,Comercial
175.75,74.43,0.74,145.5,26.63,83.7,72.6,1.43,Residencial
418.92,84.72,0.46,46.3,12.78,25.5,51.8,6.46,Industrial
368.27,110.62,0.58,21.5,37.31,26.3,26.9,2.84,Comercial
434.08,77.56,0.72,87.6,10.24,25.8,75.0,5.55,Industrial
329.19,90.9,0.57,136.4,19.38,40.7,68.5,2.44,Industrial
467.14,79.72,0.79,83.8,31.87,46.3,55.7,4.69,Industrial
279.11,54.42,0.79,50.9,23.33,49.8,40.6,1.63,Comercial
567.13,100.9,0.54,162.0,15.56,24.0,56.7,6.42,Comercial
576.77,102.93,0.95,87.4,29.88,86.2,11.7,4.42,Industrial
-25.72,77.01,0.56,102.0,22.58,81.1,14.3,2.09,Industrial
392.37,91.23,0.33,131.1,12.51,66.7,13.2,6.03,Comercial
219.14,94.31,0.91,142.1,39.68,17.8,41.0,6.36,Industrial
406.53,90.07,0.68,49.5,17.32,34.2,42.8,3.02,Industrial
202.93,114.13,0.4,73.3,12.55,72.7,25.9,1.63,Residencial
83.76,113.59,0.74,112.3,15.17,32.8,58.6,6.46,Industrial
418.66,104.67,0.29,55.4,33.52,23.7,35.9,2.25,Industrial
465.15,36.62,0.71,102.5,32.41,20.7,28.1,0.83,Industrial
430.62,93.36,0.94,169.5,18.77,78.6,8.5,3.07,Comercial
680.61,117.78,0.53,86.3,34.92,14.9,59.5,5.7,Residencial
519.18,53.95,0.58,129.9,37.09,14.4,45.6,5.32,Industrial
361.31,74.89,0.58,176.0,20.07,43.0,25.0,0.77,Comercial
278.67,76.52,0.89,20.7,18.13,60.1,54.7,1.71,Industrial
341.91,76.73,0.42,42.2,30.81,40.2,8.8,5.46,Comercial
348.76,79.88,0.67,144.3,34.44,23.1,42.4,3.44,Residencial
481.34,82.36,0.8,85.1,26.76,79.5,35.3,3.77,Industrial
360.47,71.97,0.94,21.7,23.57,28.0,47.8,0.45,Industrial
453.66,110.93,0.81,63.0,12.17,37.0,65.0,3.55,Comercial
476.2,75.64,0.83,76.3,35.58,62.8,5.2,5.96,Residencial
437.89,89.95,0.31,168.9,37.74,31.4,16.4,4.08,Industrial
357.45,91.27,0.6,123.5,14.07,35.1,36.5,5.16,Comercial
476.36,55.04,0.22,72.7,39.99,69.3,70.3,1.68,Industrial
570.24,73.86,0.23,113.9,37.35,59.6,38.6,0.7,Comercial
126.77,103.19,0.59,158.1,35.05,63.6,14.8,4.5,Residencial
671.54,63.35,0.79,197.9,12.64,30.1,19.3,6.0,Industrial
296.8,105.21,0.26,188.5,21.51,28.7,68.4,1.22,Residencial
217.46,73.59,0.44,177.1,12.71,25.3,47.9,3.49,Industrial
527.71,97.01,0.22,82.2,24.99,24.3,17.8,1.29,Residencial
453.82,81.83,0.51,99.9,18.97,21.8,79.7,1.76,Industrial
438.1,97.81,0.35,134.8,39.88,64.0,73.5,4.28,Industrial
499.89,58.07,0.89,94.3,23.04,66.7,47.5,4.82,Industrial
506.86,72.12,0.88,46.0,16.37,57.5,57.2,2.47,Industrial
490.05,68.43,0.55,118.7,29.58,48.1,38.9,2.32,Industrial
427.17,129.39,0.39,53.2,29.97,78.3,46.1,3.46,Industrial
-13.87,105.55,0.34,138.9,34.33,43.1,57.1,6.46,Comercial
510.98,100.91,0.88,43.5,36.14,61.3,26.7,5.67,Industrial
494.51,90.61,0.65,130.9,14.73,26.0,73.1,6.53,Comercial
327.65,74.08,0.59,144.6,15.2,65.9,61.0,5.56,Comercial
334.69,92.53,0.74,87.3,14.41,67.2,57.0,2.02,Comercial
485.19,106.83,0.35,188.8,25.26,65.8,71.4,6.12,Industrial
343.71,99.96,0.94,55.3,31.6,54.7,47.0,3.19,Comercial
224.54,94.07,0.44,96.5,11.94,71.6,27.3,5.71,Comercial
223.21,95.26,0.68,121.4,21.73,73.1,21.2,3.6,Industrial
458.99,57.91,0.43,92.1,39.0,15.4,71.1,4.51,Comercial
449.63,52.29,0.66,172.3,15.27,67.8,23.5,4.13,Comercial
600.33,90.65,0.27,69.7,27.59,34.7,37.0,6.35,Industrial
284.53,88.21,0.42,137.6,34.55,59.4,53.4,2.67,Industrial
546.59,40.4,0.36,132.9,18.58,28.2,32.6,3.16,Comercial
410.32,67.23,0.86,34.5,24.32,75.9,54.6,3.32,Comercial
266.52,62.33,0.22,154.3,19.04,33.9,12.4,0.74,Residencial
455.64,119.15,0.43,144.1,12.42,70.5,35.7,0.57,Industrial
492.11,129.42,0.51,37.5,22.94,35.2,35.1,6.23,Industrial
644.24,73.21,0.38,34.1,31.37,87.9,13.8,4.55,Industrial
264.63,54.71,0.45,200.0,19.13,86.9,55.5,1.37,Comercial
187.66,86.65,0.35,87.2,37.36,33.3,73.5,2.69,Comercial
544.36,59.39,0.42,146.6,22.4,26.1,68.9,3.41,Industrial
341.09,89.24,0.35,138.3,20.86,45.2,78.4,5.13,Industrial
437.66,46.4,0.94,97.7,29.62,75.7,58.3,5.67,Residencial
371.19,88.6,0.72,30.8,21.71,30.1,21.3,5.67,Residencial
433.92,82.73,0.23,128.6,18.7,55.4,9.8,5.65,Comercial
238.18,99.23,0.8,187.1,38.6,72.7,12.1,5.77,Residencial
828.14,95.34,0.85,101.0,33.11,72.8,46.3,6.97,Comercial
369.24,66.2,0.77,92.1,23.99,86.9,9.8,1.09,Comercial
378.78,127.34,0.49,65.5,36.24,51.8,21.3,5.86,Comercial
274.25,70.7,0.45,66.4,31.12,26.1,67.4,1.53,Residencial
426.99,77.12,0.49,141.7,18.68,38.0,54.8,3.45,Residencial
478.85,93.42,0.92,71.6,39.47,53.8,53.1,6.27,Industrial
458.65,83.47,0.28,162.8,21.82,50.5,15.0,1.61,Comercial
385.69,96.39,0.56,183.9,35.41,22.8,71.2,4.43,Comercial
294.33,98.73,0.27,152.1,35.08,89.4,8.2,5.79,Comercial
