solar_irradiance_wm2,wind_speed_ms,ambient_temp_c,humidity_pct,panel_temp_c,inverter_efficiency,load_demand_kw,grid_voltage_kv,battery_soc_pct,tariff_rate_usd_kwh,grid_stress_event
723.83,6.2,26.01,52.75,44.46,0.98,429.82,12.92,38.18,0.14,1
940.99,6.66,22.94,62.16,46.42,0.97,568.83,14.42,56.73,0.12,0
681.29,6.5,13.53,26.17,29.8,0.99,359.71,13.37,67.87,0.18,0
296.45,6.19,31.24,66.49,38.44,0.96,637.02,13.07,39.97,0.12,1
593.82,8.31,18.85,77.73,35.21,0.99,371.93,12.69,41.21,0.22,1
797.31,4.29,15.3,40.06,36.45,0.99,384.32,13.46,91.39,0.14,0
573.43,3.95,30.87,44.93,45.72,0.97,538.69,13.34,17.28,0.13,0
595.48,5.28,24.32,70.33,40.91,0.98,380.76,13.18,33.91,0.11,1
541.72,7.18,27.02,79.89,40.46,0.98,506.68,13.09,67.77,0.16,1
914.22,4.87,16.84,68.91,40.83,0.98,523.21,14.24,32.83,0.16,1
873.79,5.88,26.79,79.91,46.93,0.98,398.76,13.43,62.38,0.14,0
324.24,8.68,28.19,23.07,36.93,0.99,457.83,13.11,55.28,0.11,1
992.77,8.05,36.97,43.57,61.4,0.96,374.68,13.25,65.4,0.13,0
510.67,5.21,19.79,65.31,31.89,0.98,533.45,13.1,75.31,0.11,1
1014.98,0.0,13.95,65.43,37.65,0.99,351.61,13.9,44.48,0.1,0
413.49,3.38,17.14,56.27,28.12,0.99,451.99,13.16,66.62,0.17,0
848.29,6.26,20.47,45.3,41.04,0.97,568.87,13.46,52.28,0.17,1
548.04,7.75,38.28,57.38,52.21,0.98,454.57,13.07,70.44,0.13,1
621.97,4.11,20.43,38.24,36.84,0.99,323.16,13.75,48.37,0.08,0
809.01,7.64,31.31,48.4,52.44,0.97,532.53,11.57,66.7,0.08,1
516.86,5.36,27.38,31.07,39.56,0.99,273.9,14.02,58.49,0.21,0
706.76,7.56,18.29,35.96,38.63,0.98,478.08,12.49,46.93,0.16,1
705.34,3.25,27.23,59.9,45.12,0.98,387.47,13.14,88.5,0.16,0
864.43,5.88,22.22,74.24,45.62,0.98,502.09,14.29,54.04,0.15,1
896.0,5.94,18.51,49.77,40.14,0.98,531.7,11.68,37.74,0.11,1
988.22,7.54,34.42,54.11,58.99,0.96,602.67,13.03,64.53,0.11,1
704.7,4.66,18.38,86.19,35.47,0.99,462.8,13.92,55.76,0.17,0
723.57,6.93,24.21,34.61,43.47,0.96,603.76,13.29,55.83,0.14,0
547.65,3.48,29.99,43.7,44.83,0.98,495.4,13.77,59.75,0.13,0
511.96,5.39,21.58,60.28,32.1,0.98,540.08,13.37,44.42,0.13,1
412.19,0.45,28.81,55.13,39.66,0.98,287.32,14.02,46.53,0.16,0
609.27,4.76,24.84,65.64,39.87,0.98,459.47,14.07,25.63,0.12,0
678.15,3.71,19.21,54.05,35.43,0.97,630.03,13.0,38.95,0.13,1
653.64,7.63,35.65,81.2,50.58,0.98,449.45,13.07,72.38,0.16,1
753.2,4.64,29.76,61.74,49.02,0.97,357.68,12.07,50.98,0.15,1
405.88,7.32,33.85,77.03,44.92,0.98,448.82,13.17,59.33,0.11,1
961.87,7.2,29.78,59.41,54.79,0.98,430.26,13.28,58.19,0.17,0
705.28,5.57,25.14,43.3,43.09,0.98,414.66,13.02,58.98,0.17,1
846.78,7.01,22.95,69.96,44.72,0.98,365.58,13.18,46.87,0.15,0
712.14,11.85,15.12,66.29,32.74,0.99,387.53,13.17,40.56,0.14,1
492.23,5.44,21.76,52.84,34.6,0.99,362.84,13.15,70.28,0.16,0
591.34,3.44,28.01,40.24,44.93,0.98,289.97,12.59,61.06,0.09,0
56.31,4.97,20.76,36.63,22.93,0.99,455.75,12.46,74.25,0.14,1
688.49,7.17,21.21,51.64,38.42,0.97,572.13,13.09,29.72,0.14,1
637.52,7.7,27.57,51.13,41.16,0.98,274.25,13.37,81.39,0.09,0
868.34,6.12,27.49,57.57,48.35,0.98,300.06,12.23,64.71,0.09,1
333.93,6.28,15.21,57.69,23.76,0.99,347.38,13.16,41.58,0.15,0
635.85,6.14,18.39,54.21,35.46,0.99,381.34,13.43,43.36,0.15,1
595.03,0.3,18.2,45.05,35.71,0.99,363.52,13.55,60.77,0.13,0
422.63,7.8,16.65,74.32,28.19,0.99,453.21,13.74,63.13,0.16,0
385.73,6.85,29.06,75.92,38.28,0.99,367.63,12.78,35.22,0.1,1
438.41,7.58,27.53,75.86,41.94,0.98,484.41,13.03,53.7,0.09,1
827.1,8.91,31.11,69.85,51.59,0.98,368.8,13.05,67.02,0.15,0
827.35,8.21,19.1,64.98,38.99,0.99,69.3,14.46,33.12,0.14,0
390.81,9.2,19.68,100.0,30.94,0.98,567.7,12.45,81.6,0.1,1
619.99,6.54,15.54,69.96,30.4,0.99,479.07,13.02,71.72,0.16,0
735.21,5.18,37.04,51.66,55.3,0.97,51.69,13.79,42.82,0.12,0
708.62,7.95,23.81,37.77,42.67,0.98,396.26,11.75,54.65,0.16,1
376.67,2.65,16.85,72.55,26.0,0.99,492.11,13.19,51.05,0.13,1
541.7,9.51,14.35,58.4,29.2,0.99,403.94,12.58,59.52,0.13,1
391.57,5.67,19.68,51.57,28.45,0.99,524.42,13.94,82.58,0.11,0
832.95,7.47,19.95,63.08,40.64,0.98,445.85,13.97,38.03,0.17,0
1100.0,4.8,26.2,45.19,51.57,0.98,160.81,11.45,42.7,0.16,1
641.02,6.56,31.94,48.64,47.63,0.98,150.8,12.9,40.61,0.13,0
263.78,8.55,24.56,45.68,31.22,0.98,542.63,13.49,78.24,0.21,0
797.34,4.0,25.75,51.19,47.07,0.96,612.31,13.98,73.63,0.17,0
930.23,3.19,22.04,72.44,45.14,0.98,347.61,12.94,55.07,0.13,0
916.16,6.05,31.62,44.92,55.53,0.97,469.0,13.47,75.03,0.16,0
679.64,4.05,25.45,66.69,41.58,0.98,429.72,14.8,85.89,0.11,0
745.37,10.0,22.39,56.25,39.66,0.98,395.74,13.41,83.06,0.11,0
667.07,5.87,39.84,35.58,58.22,0.97,343.34,12.12,60.7,0.14,1
779.7,6.22,19.37,78.43,40.25,0.98,444.1,13.77,67.85,0.16,0
819.45,6.33,27.84,71.23,48.68,0.98,336.78,12.05,72.69,0.1,1
514.36,4.2,19.28,47.74,29.77,0.99,405.83,13.08,68.17,0.14,0
544.43,4.13,24.04,63.39,38.32,0.98,306.0,13.99,68.34,0.16,0
588.5,11.77,18.89,44.49,33.26,0.99,227.99,14.46,35.6,0.18,0
608.55,11.01,30.92,71.86,46.17,0.98,432.4,13.68,58.51,0.17,0
684.51,5.37,22.63,63.14,40.08,0.98,399.16,12.55,56.66,0.11,1
851.36,6.5,25.3,65.99,47.7,0.98,477.46,13.84,85.47,0.09,0
414.82,8.01,31.75,45.79,42.87,0.98,447.5,13.17,45.45,0.14,1
815.33,5.34,32.1,58.69,50.65,0.98,438.79,12.94,64.06,0.12,1
614.54,3.89,26.69,53.65,42.19,0.98,373.11,12.66,14.92,0.14,1
134.1,6.56,18.11,56.3,21.83,0.99,390.32,13.46,48.95,0.18,0
578.23,7.63,12.86,60.55,28.19,0.99,480.59,13.07,57.28,0.1,1
600.88,9.63,22.66,28.14,36.45,0.99,332.0,14.29,51.57,0.16,0
748.68,10.27,19.39,63.24,35.16,0.99,488.16,14.53,63.09,0.16,1
756.12,7.19,27.45,55.81,44.54,0.97,454.36,13.08,62.55,0.12,1
648.85,8.14,15.14,48.01,31.25,0.99,376.36,12.85,29.34,0.14,1
503.4,6.73,28.07,84.9,41.17,0.99,366.64,13.58,56.74,0.17,0
821.5,10.26,12.21,84.36,30.38,0.98,419.77,12.94,59.01,0.14,1
528.12,3.99,23.79,37.69,37.21,0.99,360.54,13.65,60.35,0.19,0
436.08,9.49,31.79,46.6,41.34,0.98,485.9,13.16,43.83,0.22,1
534.53,3.45,23.71,71.82,35.72,0.98,508.15,12.34,73.75,0.15,1
553.05,7.42,23.71,49.83,37.27,0.99,477.37,13.76,61.4,0.1,0
629.46,8.89,33.21,57.66,51.22,0.98,483.09,12.23,63.66,0.14,1
569.37,6.48,12.19,54.94,26.98,0.99,256.01,14.13,34.67,0.12,0
584.41,5.8,24.61,64.23,39.22,0.97,589.49,12.44,48.33,0.1,1
783.49,8.53,33.77,52.92,51.94,0.96,566.21,12.63,61.44,0.16,1
793.37,6.48,18.77,60.85,40.07,0.99,449.42,13.89,47.3,0.13,0
745.91,4.34,25.74,56.77,43.75,0.98,391.32,12.67,63.94,0.13,1
594.3,4.16,27.25,52.25,44.87,0.98,291.4,13.34,42.16,0.1,0
529.89,4.69,26.31,63.07,39.26,0.99,422.11,13.24,31.87,0.12,1
608.28,7.62,26.44,52.91,39.47,0.98,427.33,13.52,10.56,0.15,1
623.59,3.72,33.42,40.82,49.55,0.98,456.36,13.89,62.45,0.14,0
801.46,7.96,14.96,58.61,34.96,0.99,454.02,13.04,36.78,0.14,1
599.56,4.3,29.19,45.2,45.23,0.98,281.09,12.04,65.49,0.11,1
433.15,7.17,32.48,68.03,44.78,0.98,476.45,12.35,78.64,0.1,1
499.29,4.94,31.69,57.43,44.32,0.98,349.18,12.82,41.74,0.17,1
967.55,4.76,23.68,54.32,48.09,0.98,429.08,13.71,60.17,0.18,0
482.12,6.6,24.31,78.94,35.26,0.99,374.55,13.01,42.35,0.11,1
422.52,5.09,20.3,60.29,30.74,0.99,369.21,12.19,35.18,0.14,1
597.5,7.59,27.09,60.72,44.06,0.98,341.28,12.82,42.78,0.09,1
966.99,4.91,24.16,80.01,49.46,0.98,399.35,13.19,61.55,0.19,0
667.36,1.74,22.1,71.37,39.02,0.98,335.51,13.06,99.57,0.13,0
702.68,1.51,19.3,67.21,38.41,0.99,465.2,12.83,51.85,0.12,1
366.22,2.84,22.92,71.08,32.76,0.97,587.09,13.03,76.02,0.13,1
380.21,8.53,37.53,58.58,48.22,0.98,518.69,12.34,42.0,0.17,1
649.57,6.72,18.9,56.67,35.69,0.99,504.23,13.04,80.89,0.1,1
567.63,3.76,15.87,38.65,28.41,0.99,350.06,12.15,70.22,0.14,1
720.14,5.38,23.8,47.51,42.98,0.98,440.39,13.43,19.37,0.12,1
451.55,8.92,17.02,50.35,31.03,0.98,527.11,13.07,80.55,0.12,1
839.55,3.25,10.25,75.25,31.75,0.99,450.97,13.82,54.79,0.15,0
894.35,7.67,20.89,47.92,42.79,0.98,444.31,13.13,55.26,0.19,1
371.56,8.35,18.38,63.44,24.9,0.99,447.15,13.76,95.09,0.12,0
694.12,2.82,23.13,65.51,40.17,0.98,425.29,12.75,48.95,0.17,1
599.74,5.81,22.69,65.28,38.47,0.98,329.35,13.09,45.08,0.13,0
909.67,2.36,27.53,75.07,50.34,0.97,335.09,13.39,43.76,0.13,0
690.65,8.51,15.26,40.89,33.69,0.97,613.47,12.29,39.59,0.13,1
821.59,5.12,21.47,82.54,42.05,0.98,407.52,12.19,76.48,0.13,1
636.27,3.16,20.72,43.89,37.58,0.98,366.64,14.34,59.85,0.11,0
706.55,6.62,21.19,56.44,39.11,0.98,273.32,13.11,20.35,0.14,0
1033.91,6.12,32.49,67.85,57.87,0.96,542.54,12.68,39.94,0.18,1
1023.74,7.27,33.17,55.39,57.92,0.97,463.61,14.29,37.45,0.13,0
344.64,2.9,24.53,43.21,35.62,0.99,447.15,12.98,92.34,0.2,0
718.62,11.1,26.08,25.77,44.27,0.99,395.25,13.02,39.15,0.11,1
693.43,7.36,27.64,56.84,43.56,0.99,353.47,13.43,56.52,0.17,0
456.72,4.23,28.31,82.05,39.21,0.99,447.97,12.72,28.43,0.13,1
511.76,10.12,28.97,78.96,42.51,0.98,197.38,12.76,58.35,0.13,0
683.29,6.7,16.97,27.43,33.69,0.99,408.59,12.22,60.7,0.15,1
822.08,4.44,27.0,64.58,47.75,0.98,451.78,13.86,48.34,0.14,0
744.16,5.58,29.33,65.33,50.59,0.98,352.08,13.56,61.1,0.12,0
574.63,7.59,14.66,42.9,27.97,0.99,345.54,12.79,48.28,0.11,1
458.99,7.74,23.2,43.56,36.16,0.99,308.37,12.9,55.53,0.18,0
273.21,7.83,12.79,50.07,20.96,0.99,408.92,12.14,54.9,0.12,1
927.2,7.26,11.62,46.27,34.58,0.99,455.45,12.18,36.72,0.09,1
549.79,8.48,21.66,51.93,37.36,0.98,555.95,14.28,93.35,0.13,0
495.3,6.23,28.99,46.47,42.15,0.97,563.96,12.99,42.97,0.19,1
710.77,5.76,31.03,72.99,46.32,0.98,520.65,13.64,46.05,0.1,0
634.54,6.26,24.83,49.32,40.23,0.98,433.38,13.72,35.45,0.11,0
647.0,9.26,16.82,50.74,33.61,0.99,340.78,13.35,69.58,0.15,0
768.29,7.1,29.17,30.41,48.7,0.98,478.77,14.28,53.74,0.13,0
562.48,2.29,20.14,57.44,34.39,0.99,420.91,13.11,30.13,0.11,1
459.62,3.68,23.48,49.38,31.26,0.99,488.73,13.33,39.17,0.12,0
624.34,3.97,22.93,35.76,39.02,0.96,623.39,13.29,40.11,0.17,1
661.81,6.68,31.18,46.35,49.54,0.98,438.24,13.16,69.44,0.14,0
454.08,10.47,32.65,57.21,43.63,0.99,301.62,14.92,75.89,0.14,0
451.08,2.49,27.09,65.89,40.38,0.98,257.18,13.26,44.48,0.15,0
461.47,2.3,29.47,83.48,42.02,0.97,553.18,13.25,62.31,0.1,1
796.85,2.48,23.67,99.89,44.88,0.98,500.42,13.04,47.13,0.11,1
899.19,6.18,17.39,56.55,40.5,0.98,253.5,12.81,59.05,0.13,0
879.23,4.89,23.19,39.49,43.29,0.98,419.65,13.12,66.85,0.14,0
485.64,8.4,30.72,60.36,44.93,0.98,255.19,12.85,58.76,0.11,0
525.13,1.84,22.89,47.54,35.96,0.99,347.42,12.97,39.18,0.17,1
420.1,7.33,21.01,59.85,32.22,0.99,463.47,13.52,62.03,0.14,0
980.6,4.88,21.99,71.69,45.37,0.98,440.79,12.47,38.97,0.15,1
562.84,9.12,18.03,61.91,33.69,0.97,564.33,13.58,39.67,0.13,1
643.24,6.56,28.91,63.49,45.13,0.98,261.48,13.46,72.84,0.13,0
564.33,4.65,33.11,58.71,47.31,0.98,166.72,13.28,49.37,0.1,0
680.15,3.11,19.09,46.03,36.56,0.97,602.39,13.46,16.56,0.17,1
461.25,9.34,27.25,43.55,37.67,0.99,437.86,12.79,58.66,0.1,1
538.33,5.2,15.36,41.49,28.84,0.99,447.68,12.98,61.53,0.11,1
485.82,3.28,29.71,69.39,42.62,0.98,443.34,13.06,40.29,0.11,0
224.27,4.19,23.04,54.5,29.83,0.98,308.44,14.27,54.85,0.13,0
695.8,6.67,18.9,68.75,33.32,0.99,201.56,14.07,54.83,0.18,0
782.84,6.94,20.47,52.14,40.89,0.98,353.38,13.38,71.14,0.1,1
824.6,4.86,22.0,55.08,43.45,0.98,286.67,13.33,55.96,0.14,0
930.63,5.88,25.81,64.64,49.37,0.98,230.58,12.72,39.34,0.16,0
820.95,5.35,17.75,58.88,38.3,0.98,395.19,13.15,40.77,0.11,1
636.99,9.26,20.96,43.4,35.55,0.99,315.17,12.69,67.78,0.16,0
747.74,4.67,16.96,44.83,36.27,0.98,548.82,13.72,34.85,0.12,1
554.4,4.22,29.02,63.51,41.37,0.98,539.26,12.4,57.09,0.15,1
792.68,3.65,25.73,28.33,45.28,0.98,494.42,12.47,65.2,0.15,1
598.29,5.69,27.28,71.59,43.8,0.98,368.84,13.09,43.3,0.09,1
231.49,8.41,21.23,64.32,27.9,0.98,554.31,13.88,61.56,0.2,0
644.32,6.4,34.58,60.47,48.41,0.98,209.68,11.28,96.34,0.17,1
661.02,6.27,19.72,72.62,34.83,0.97,593.44,13.5,42.87,0.16,1
438.48,9.03,18.44,57.64,29.15,0.99,453.23,12.75,33.13,0.21,1
735.35,8.34,28.09,74.98,44.9,0.98,406.17,12.52,62.98,0.12,1
863.66,6.92,16.61,69.8,37.87,0.99,439.27,12.97,73.56,0.14,1
441.9,11.28,30.39,55.29,41.37,0.98,470.08,12.24,39.22,0.11,1
786.07,2.63,26.08,47.33,49.46,0.98,476.1,12.79,77.67,0.13,1
806.13,9.55,26.17,62.64,44.05,0.98,439.4,13.04,63.86,0.17,1
478.93,8.2,30.32,56.6,43.6,0.97,569.45,12.85,51.52,0.18,1
570.24,3.27,31.24,51.32,44.3,0.98,469.83,14.3,47.26,0.14,0
453.22,9.42,25.35,58.93,36.64,0.99,432.67,14.05,50.28,0.11,1
545.83,9.41,25.84,48.73,39.19,0.98,245.65,13.75,43.94,0.14,0
641.0,6.04,20.26,88.46,34.81,0.99,265.05,13.24,46.59,0.17,0
859.92,4.44,10.76,57.76,30.31,0.99,379.25,12.26,51.9,0.12,1
534.99,5.05,21.49,80.13,35.06,0.99,416.87,12.85,41.19,0.16,1
370.16,9.8,13.78,70.53,24.67,0.99,393.76,12.41,74.71,0.14,1
84.0,7.67,22.61,87.42,24.08,0.99,392.02,14.12,81.14,0.14,0
529.5,3.82,31.91,64.55,44.9,0.97,539.28,13.45,46.04,0.08,1
413.58,10.11,22.95,42.63,34.67,0.98,563.61,13.59,54.71,0.16,1
683.4,8.84,27.16,65.81,43.97,0.98,330.88,13.68,53.33,0.13,0
691.29,3.5,22.17,77.09,39.21,0.99,206.23,13.89,50.54,0.17,0
364.35,7.18,25.37,38.74,36.62,0.99,490.21,14.33,13.09,0.15,1
715.21,6.51,22.92,65.71,41.72,0.99,305.08,13.3,94.87,0.16,0
611.91,6.75,30.45,88.08,47.25,0.98,312.69,13.9,68.26,0.14,0
604.43,8.2,24.57,71.7,39.15,0.98,361.17,12.72,58.25,0.14,1
556.29,7.6,12.65,83.36,26.57,0.97,594.85,14.23,50.54,0.15,0
822.87,8.78,18.45,57.54,40.38,0.97,574.79,14.18,30.65,0.07,1
757.02,6.1,22.17,45.05,42.41,0.99,460.44,13.11,74.52,0.12,0
683.7,5.69,17.93,64.08,35.62,0.99,394.19,13.93,85.76,0.13,0
857.17,6.19,24.93,60.89,45.25,0.97,576.52,13.44,68.63,0.1,1
656.25,0.0,21.31,74.02,36.98,0.98,509.31,13.49,75.15,0.12,0
674.96,5.88,12.97,61.23,31.74,0.98,296.96,12.95,71.12,0.16,0
746.35,9.65,28.14,50.18,47.86,0.97,567.61,12.81,54.79,0.12,1
601.33,4.8,22.35,67.04,39.13,0.99,354.19,13.2,46.94,0.11,0
433.64,3.16,19.92,72.4,30.89,0.99,366.28,14.49,100.0,0.12,0
967.24,7.67,24.34,29.45,49.44,0.98,399.97,13.15,65.23,0.15,0
819.74,12.57,23.2,37.45,43.75,0.98,401.65,13.62,30.14,0.13,0
416.1,5.34,17.02,70.22,23.73,0.99,293.37,13.15,54.74,0.16,0
473.02,7.62,22.45,78.23,34.8,0.96,638.91,13.11,38.67,0.14,1
458.18,5.31,16.61,48.85,28.04,0.99,243.8,13.94,71.28,0.12,0
375.74,3.35,35.96,28.8,48.25,0.98,409.46,13.08,16.63,0.15,1
715.17,5.37,23.49,31.15,42.52,0.98,263.49,12.63,37.26,0.21,1
920.38,5.42,25.76,59.73,50.3,0.97,558.2,12.38,37.56,0.15,1
719.68,5.62,30.51,45.23,47.05,0.98,371.79,13.11,27.44,0.15,1
930.65,3.61,32.69,76.59,54.86,0.98,460.78,13.58,88.27,0.12,0
574.71,3.18,21.9,54.59,37.03,0.99,348.12,12.89,91.2,0.17,0
697.33,2.84,32.99,48.21,51.5,0.97,352.61,12.63,50.7,0.13,1
483.21,6.28,10.77,50.53,22.82,0.99,360.38,12.9,78.32,0.16,0
653.87,6.47,30.87,40.16,47.55,0.98,402.41,13.57,53.84,0.09,0
843.33,8.88,35.43,55.91,57.48,0.97,459.53,12.91,30.3,0.09,1
778.44,8.66,26.78,63.45,47.84,0.98,422.63,12.57,76.27,0.13,1
833.66,4.32,27.16,31.58,47.43,0.98,300.22,12.58,85.49,0.13,0
576.61,4.92,27.2,69.28,41.99,0.97,568.54,12.77,62.17,0.16,1
814.28,4.65,18.28,66.43,38.54,0.98,415.62,13.33,18.22,0.09,1
911.04,3.06,20.78,51.67,45.24,0.98,376.37,12.8,40.53,0.19,1
751.44,5.07,23.22,31.84,40.25,0.98,436.11,13.84,90.4,0.13,0
399.78,2.67,31.39,55.64,39.83,0.98,427.87,13.1,69.91,0.15,0
700.82,2.0,29.13,54.09,45.31,0.98,453.62,14.66,45.18,0.14,0
693.97,8.27,28.93,54.05,48.31,0.98,433.99,13.15,64.43,0.13,0
529.03,6.29,27.61,61.38,40.78,0.98,520.42,13.34,54.52,0.14,1
464.46,4.4,25.55,76.89,37.19,0.99,360.24,13.4,36.65,0.14,0
503.78,7.67,24.72,38.89,36.45,0.99,411.04,13.55,62.12,0.1,0
856.8,7.85,20.74,39.25,41.73,0.98,437.64,12.3,65.59,0.13,1
673.94,9.79,20.47,68.96,38.26,0.98,470.57,13.39,56.93,0.18,0
950.76,5.34,26.79,70.95,53.69,0.95,650.3,13.8,76.86,0.18,1
326.54,6.76,33.21,56.64,41.56,0.98,429.94,13.27,46.75,0.17,1
726.05,5.41,23.8,49.82,41.98,0.98,364.98,13.31,61.1,0.14,0
938.03,4.93,32.02,73.4,55.77,0.97,493.11,13.08,58.44,0.16,1
979.65,8.8,26.42,61.32,50.22,0.97,563.16,13.0,26.28,0.14,1
552.96,7.46,17.91,50.76,33.21,0.99,366.66,13.0,43.34,0.1,1
936.44,3.84,21.91,47.96,43.73,0.98,474.92,13.68,50.94,0.17,0
846.91,6.47,29.69,58.47,51.49,0.97,397.57,13.38,74.1,0.12,0
862.82,7.9,23.89,69.12,44.95,0.96,605.11,13.27,44.31,0.21,0
688.54,5.95,21.34,83.67,37.1,0.98,483.38,13.5,77.59,0.16,0
831.83,6.21,25.29,64.02,44.98,0.98,340.33,13.22,72.36,0.12,0
814.73,12.09,23.7,57.58,43.04,0.98,400.03,13.31,74.03,0.18,0
541.57,4.32,22.53,48.33,35.0,0.99,422.13,12.38,33.38,0.15,1
163.65,4.87,14.79,56.37,19.54,0.97,575.7,14.16,58.14,0.13,0
855.57,10.04,22.69,44.1,46.61,0.98,375.54,12.8,48.61,0.13,1
841.99,6.73,21.52,77.39,43.03,0.98,412.96,12.61,41.05,0.17,1
785.45,6.08,26.99,46.15,45.88,0.98,526.84,12.72,98.99,0.12,1
579.03,3.36,26.42,58.19,42.05,0.98,237.34,12.82,51.47,0.12,0
578.74,7.23,23.53,68.89,38.64,0.97,572.1,12.66,75.37,0.2,1
368.58,7.78,36.8,75.62,43.99,0.93,782.71,13.46,49.38,0.15,1
944.06,9.24,27.81,49.74,50.28,0.98,451.92,13.52,62.13,0.13,0
636.86,9.67,26.97,88.32,42.09,0.98,480.92,12.31,76.47,0.14,1
804.14,7.32,12.14,18.93,33.24,0.98,535.95,12.86,53.82,0.13,1
589.76,4.86,12.38,39.95,27.19,0.99,436.85,13.86,63.56,0.13,0
229.26,3.51,29.06,50.6,35.07,0.99,419.12,14.62,68.28,0.15,0
795.53,10.19,16.58,70.75,36.28,0.99,384.21,13.12,64.59,0.12,0
872.01,5.06,18.67,58.48,41.57,0.98,523.38,13.02,42.64,0.13,0
988.02,9.4,18.79,72.5,42.59,0.98,315.51,13.37,43.92,0.07,0
633.11,8.31,28.22,54.37,41.28,0.98,427.81,12.65,35.05,0.17,1
567.47,5.89,27.55,70.32,41.3,0.98,508.23,13.76,50.57,0.16,0
680.85,9.99,26.24,71.41,44.7,0.99,469.74,13.58,45.57,0.15,0
466.06,6.39,26.89,71.3,38.73,0.98,401.62,13.61,58.93,0.14,0
495.57,9.68,17.49,72.37,29.38,0.99,324.85,13.58,45.5,0.08,0
763.28,5.94,23.72,84.45,43.81,0.98,447.77,13.38,13.31,0.17,1
610.65,5.77,37.53,47.79,52.16,0.97,395.01,12.85,57.06,0.18,1
557.44,6.28,18.84,64.18,32.8,0.99,331.38,12.89,33.97,0.14,1
722.69,11.69,13.52,30.82,30.58,0.99,280.72,13.32,37.48,0.15,0
589.69,7.55,17.33,44.58,29.54,0.99,261.14,13.33,63.92,0.14,0
1085.78,6.48,19.25,89.02,45.77,0.98,347.86,12.41,19.11,0.12,1
599.46,2.58,21.68,73.3,35.93,0.99,309.0,12.72,51.14,0.12,0
931.37,4.78,25.73,69.95,49.36,0.98,395.56,12.82,47.63,0.14,1
778.02,3.37,26.14,64.79,46.88,0.98,339.66,13.82,81.69,0.12,0
827.07,1.43,22.56,57.08,42.33,0.99,369.99,13.18,38.17,0.15,0
716.18,4.38,24.5,49.05,42.33,0.98,313.62,12.5,56.03,0.15,1
625.25,11.33,22.53,66.76,38.77,0.98,565.89,13.48,55.03,0.13,1
651.92,9.35,17.62,69.31,35.32,0.99,304.0,13.44,47.7,0.15,0
542.91,8.99,24.65,24.25,37.66,0.97,548.48,13.05,57.11,0.12,1
718.45,5.35,29.89,41.45,48.01,0.98,439.07,13.07,49.15,0.18,1
826.24,4.96,31.87,66.43,51.51,0.96,556.58,12.63,74.76,0.2,1
212.83,2.36,16.77,44.17,23.85,0.99,251.21,12.49,46.72,0.12,1
423.04,8.67,26.92,56.89,37.42,0.99,513.14,13.19,58.51,0.13,1
435.31,5.68,22.24,86.16,33.34,0.99,395.1,12.85,81.04,0.1,0
767.63,5.94,21.2,80.62,38.97,0.99,337.02,13.45,50.06,0.11,0
762.62,8.13,20.23,56.04,41.24,0.98,314.23,13.8,58.74,0.12,0
575.71,3.72,27.49,45.99,41.95,0.98,310.05,14.12,65.49,0.16,0
920.92,8.96,18.54,75.74,42.98,0.98,487.25,13.19,68.3,0.13,1
581.51,2.45,13.02,86.46,26.44,0.99,459.75,13.18,23.29,0.13,1
747.06,2.59,20.1,48.81,40.06,0.98,426.31,12.92,44.57,0.17,1
793.32,8.94,31.34,71.98,53.45,0.97,525.08,14.22,49.1,0.17,0
620.48,7.29,21.56,50.28,37.41,0.99,425.33,13.97,83.85,0.15,0
836.87,6.96,24.8,48.99,45.82,0.98,363.87,13.36,85.03,0.11,0
582.9,1.61,22.05,67.48,37.86,0.99,412.07,13.76,67.11,0.12,0
645.9,8.4,30.5,67.06,47.59,0.98,221.38,12.91,0.0,0.15,1
669.23,9.84,26.83,59.94,43.51,0.98,414.76,12.26,65.2,0.18,1
785.32,5.55,38.53,48.65,56.75,0.97,261.98,12.92,34.39,0.13,0
907.94,5.32,28.07,28.73,50.75,0.98,442.21,13.24,63.61,0.16,0
512.52,10.83,15.68,100.0,27.36,0.99,348.11,13.55,47.67,0.2,0
400.58,4.47,23.82,60.77,32.27,0.99,457.33,13.6,54.22,0.11,0
768.6,1.15,33.04,71.08,50.43,0.98,442.94,13.8,41.02,0.18,0
271.61,7.76,13.2,84.78,19.43,0.98,502.72,13.31,61.66,0.13,1
658.18,4.49,34.91,51.42,50.54,0.97,358.03,13.08,62.97,0.14,0
753.4,8.31,23.35,56.57,42.13,0.98,422.87,13.63,64.53,0.16,0
333.37,4.76,19.82,52.73,26.55,0.99,463.95,14.91,62.71,0.1,0
497.84,5.79,18.87,29.14,33.31,0.98,459.47,13.44,44.53,0.14,1
593.65,5.4,22.35,43.63,36.85,0.98,350.13,14.21,83.7,0.1,0
628.1,4.67,23.82,65.82,41.83,0.98,473.5,13.25,49.71,0.16,1
648.61,6.61,18.99,57.29,33.67,0.99,402.62,13.57,88.04,0.14,0
721.22,10.05,21.48,67.43,38.15,0.98,329.57,13.05,72.34,0.17,0
773.95,3.9,32.72,57.47,51.16,0.98,204.83,13.82,61.67,0.12,0
364.68,7.43,18.43,73.0,26.87,0.99,496.33,13.42,51.97,0.11,1
873.98,5.0,23.48,54.37,44.66,0.96,584.03,12.72,47.19,0.1,1
597.72,6.12,28.48,60.35,44.94,0.98,320.66,14.03,70.78,0.14,0
